gamma 0.0: 0.44148031496063
gamma 0: 4.4488188976377945
gamma 1.0: 0.0783937007874016
gamma 1: -3.3464566929133857
gamma 2.0: -0.1114015748031496
gamma 2: 1.2204724409448815
gamma 3.0: -0.2929448818897638
gamma 3: 1.3779527559055111
gamma 4.0: -0.490992125984252
gamma 4: 1.6141732283464574
gamma 5.0: -0.27644094488188975
gamma 5: 0.9055118110236213
gamma 6.0: -0.2929448818897638
gamma 6: -0.4330708661417324
gamma 7.0: 0.457984251968504
gamma 7: -0.8267716535433074
gamma 8.0: 0.524
gamma 8: -1.5354330708661417
gamma 9.0: 0.43322834645669295
gamma 9: 3.1889763779527556
